battery_kwh,reliability,ens_kwh,lolp
0,0.7322373794627371,129677.36351095876,0.5441780821917809
500,0.975534123751612,11848.817140758529,0.06015981735159817
1000,0.9996775797649652,156.14803118525649,0.0009132420091324201
1500,1.0,0.0,0.0
2000,1.0,0.0,0.0
2500,1.0,0.0,0.0
3000,1.0,0.0,0.0
3500,1.0,0.0,0.0
4000,1.0,0.0,0.0
4500,1.0,0.0,0.0
5000,1.0,0.0,0.0
5500,1.0,0.0,0.0
6000,1.0,0.0,0.0
6500,1.0,0.0,0.0
7000,1.0,0.0,0.0
7500,1.0,0.0,0.0
8000,1.0,0.0,0.0
8500,1.0,0.0,0.0
9000,1.0,0.0,0.0
9500,1.0,0.0,0.0
10000,1.0,0.0,0.0
10500,1.0,0.0,0.0
11000,1.0,0.0,0.0
11500,1.0,0.0,0.0
12000,1.0,0.0,0.0
12500,1.0,0.0,0.0
13000,1.0,0.0,0.0
13500,1.0,0.0,0.0
14000,1.0,0.0,0.0
14500,1.0,0.0,0.0
15000,1.0,0.0,0.0
